bizID,title,categories,priceRange,dollarPrice,rating,reviewCount,address,district,searchZipcode,exactZipcode,latitude,longitude,phone,img,neighborhood,neighborhood_group
one-shot-records-new-york,One Shot Records,Vinyl Records,,,-1,-1,Inwood,,10034,10034,40.87214520000001,-73.9212858,(917) 710-4306,https://s3-media1.fl.yelpcdn.com/bphoto/x-XHuVCvSgZNf1cUqQHbQQ/90s.jpg,Inwood,Manhattan
furniture-elegant-new-york,Furniture Elegant,Furniture Stores,,,-1,-1,592 W 207th St,Inwood,10034,10034,40.86714979999999,-73.921036,(212) 942-5504,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Inwood,Manhattan
st-teresa-pharmacy-new-york,St Teresa Pharmacy,Drugstores,,,-1,-1,3849 10th Ave,Inwood,10034,10034,40.8636431,-73.9192861,(212) 304-4541,https://s3-media4.fl.yelpcdn.com/bphoto/EsAGwUoL0BHIJvLx_mIAjQ/90s.jpg,Inwood,Manhattan
janik-pharmacy-new-york,Janik Pharmacy,Drugstores,,,-1,-1,520 W 207th St,Inwood,10034,10034,40.8650664,-73.9196934,(212) 567-1350,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Inwood,Manhattan
emagio-new-york,Emagio,Makeup Artists;Hair Stylists;Personal Shopping,,,-1,-1,65 Park Ter W,Inwood,10034,10034,40.871435,-73.917624,(732) 277-6626,https://s3-media3.fl.yelpcdn.com/bphoto/WAE93WKUY7lp6HSIs7yVYw/ls.jpg,Inwood,Manhattan
jose-pharmacy-new-york,Jose Pharmacy,Drugstores,,,-1,-1,506 W 207th St,Inwood,10034,10034,40.8645436,-73.9193741,(212) 304-0101,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Inwood,Manhattan
town-drug-new-york-2,Town Drug,Drugstores,Moderate,$$,3,3,4785 Broadway,Inwood,10034,10034,40.8662114,-73.92629040000001,(212) 304-9582,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Inwood,Manhattan
rite-aid-new-york-110,Rite Aid,Drugstores;Convenience Stores,Moderate,$$,2,24,4910 Broadway,Inwood,10034,10034,40.8671907,-73.92198020000002,(212) 569-2512,https://s3-media2.fl.yelpcdn.com/bphoto/djV1JkKhuF6djmRV-oK9dQ/ls.jpg,Inwood,Manhattan
isham-broadway-pharmacy-new-york,Isham Broadway Pharmacy,Drugstores,,,-1,-1,4996 Broadway,Inwood,10034,10034,40.8682413,-73.91848409999999,(212) 567-3137,https://s3-media1.fl.yelpcdn.com/bphoto/E4rCj5s-wIDCX1g10qdsKA/ls.jpg,Inwood,Manhattan
the-shoe-tree-new-york,The Shoe Tree,Shoe Stores,Moderate,$$,5,21,2876 Broadway,Morningside Heights,10026,10025,40.8051752,-73.9656698,(212) 280-1711,https://s3-media2.fl.yelpcdn.com/bphoto/WBMB0YrR3I0y3J6Z-CNh1g/90s.jpg,Morningside Heights,Manhattan
tj-maxx-columbus-village,TJ Maxx,Department Stores,Moderate,$$,3,58,808 Columbus Ave,Manhattan Valley,10026,10025,40.794864,-73.96634,(212) 222-0543,https://s3-media3.fl.yelpcdn.com/bphoto/RKlDn92s9HoKhdpiWvEDpg/90s.jpg,Upper West Side,Manhattan
urban-outfitters-new-york-11,Urban Outfitters,Women's Clothing;Men's Clothing;Home Decor,Moderate,$$,3,22,2633 Broadway,Manhattan Valley,10026,10025,40.7970815,-73.9704494,(212) 222-3212,https://s3-media2.fl.yelpcdn.com/bphoto/M02pZZMeesZOMAw99W7fYg/90s.jpg,Upper West Side,Manhattan
shishi-new-york,Shishi,Women's Clothing;Formal Wear,Moderate,$$,5,36,2488 Broadway,Upper West Side,10026,10025,40.7922799,-73.97317120000002,(646) 692-4510,https://s3-media4.fl.yelpcdn.com/bphoto/nkVy0z-MwbFNBfgpXhdsgQ/90s.jpg,Upper West Side,Manhattan
university-hardware-and-housewares-new-york,University Hardware & Housewares,Hardware Stores;Home Decor;Kitchen & Bath,Moderate,$$,4,63,2906 Broadway,Morningside Heights,10026,10025,40.806217,-73.96463709999998,(917) 633-7251,https://s3-media2.fl.yelpcdn.com/bphoto/VYjLcUTtTPKGZJwabTHW4Q/90s.jpg,Morningside Heights,Manhattan
steps-new-york-new-york-3,Steps New York,Women's Clothing,Moderate,$$,4,1,2736 Broadway,Manhattan Valley,10026,10025,40.8002338,-73.96763609999998,(212) 663-0123,https://s3-media3.fl.yelpcdn.com/bphoto/n4IlQhiOSPdOQPPrIEfecQ/90s.jpg,Upper West Side,Manhattan
st-francis-thrift-store-new-york,St Francis Thrift Store,Used;Vintage & Consignment,Inexpensive,$,4,29,217 W 96th St,Upper West Side,10026,10025,40.7944602,-73.971289,(212) 932-8040,https://s3-media3.fl.yelpcdn.com/bphoto/KJ0vDJ7sKVe8aSMeeYFAGg/90s.jpg,Upper West Side,Manhattan
loft-new-york-14,Loft,Accessories;Women's Clothing;Maternity Wear,,,3,4,795 Columbus Ave,Manhattan Valley,10026,10025,40.794219,-73.966084,(212) 678-4913,https://s3-media3.fl.yelpcdn.com/bphoto/0nJEkifLzG5-t8KQyd3eJA/90s.jpg,Upper West Side,Manhattan
bank-street-bookstore-new-york-4,Bank Street Bookstore,Bookstores,Moderate,$$,5,5,2780 Broadway,Manhattan Valley,10026,10025,40.8022514,-73.9674752,(212) 678-1654,https://s3-media2.fl.yelpcdn.com/bphoto/1QPJNB1uy2GvzuDWmck2qw/90s.jpg,Upper West Side,Manhattan
housing-works-thrift-shop-new-york-22,Housing Works Thrift Shop,Thrift Stores;Donation Center;Used;Vintage & Consignment,Inexpensive,$,3,11,2569 Broadway,Manhattan Valley,10026,10025,40.795154611315496,-73.971768707037,(212) 222-3550,https://s3-media4.fl.yelpcdn.com/bphoto/_ZNM6ByfAWDaBL2YgV2CLQ/ls.jpg,Upper West Side,Manhattan
book-culture-new-york,Book Culture,Bookstores,Moderate,$$,4,96,536 W 112th St,Morningside Heights,10026,10025,40.804991,-73.964975,(212) 865-1588,https://s3-media2.fl.yelpcdn.com/bphoto/QvaBvMGvThFK4mLSepi6JQ/ls.jpg,Morningside Heights,Manhattan
homegoods-new-york-2,HomeGoods,Home Decor;Kitchen & Bath,Moderate,$$,3,85,795 Columbus Ave,Manhattan Valley,10026,10025,40.794485,-73.965878,(212) 280-6303,https://s3-media2.fl.yelpcdn.com/bphoto/EO99CJfLLovzDl4YaX7fRA/ls.jpg,Upper West Side,Manhattan
felix-and-fanny-new-york-2,Felix and Fanny,Toy Stores;Children's Clothing,Pricey,$$$,4,9,2868 Broadway,Morningside Heights,10026,10025,40.8050613,-73.9654849,(212) 580-8202,https://s3-media1.fl.yelpcdn.com/bphoto/yyDpU4dWE6clHdoAjS2v7Q/ls.jpg,Morningside Heights,Manhattan
supermud-pottery-studio-new-york-2,Supermud Pottery Studio,Art Galleries;Art Schools,Moderate,$$,4,7,2744 Broadway,Manhattan Valley,10026,10025,40.800626,-73.967701,(212) 865-9190,https://s3-media2.fl.yelpcdn.com/bphoto/d28j2rIheNlGdlYRCFb7mQ/ls.jpg,Upper West Side,Manhattan
mandee-new-york-8,Mandee,Accessories;Women's Clothing,,,-1,-1,2625 Broadway,Manhattan Valley,10026,10025,40.796973,-73.970603,(212) 222-0536,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,Upper West Side,Manhattan
declutter-organize-design-new-york,Declutter Organize Design,Home Organization;Home Decor,,,5,2,127 West 96 St,Upper West Side,10026,10025,40.7937329,-73.9689989,(917) 301-5949,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,Upper West Side,Manhattan
