bizID,title,categories,priceRange,dollarPrice,rating,reviewCount,address,district,searchZipcode,exactZipcode,latitude,longitude,phone,img
conscious-apparel-new-york,Conscious Apparel,Women's Clothing,,,-1,-1,194 Malcolm X Blvd,Harlem,10026,10026,40.8042922,-73.94766949999999,(212) 534-3502,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
trecis-klazet-manhattan,Tre’Ci’s KlaZet,Jewelry;Accessories,,,-1,-1,52 W 116th St,Harlem,10026,10026,40.801328000000005,-73.9487709,(914) 487-3247,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
tc-116-06-corporation-new-york,TC 116 06 Corporation,Shoe Stores,,,-1,-1,111 W 116th St,Harlem,10026,10026,40.8025565,-73.9505463,(212) 316-9480,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
1925-seventh-avenue-new-york,1925 Seventh Avenue,Fashion,,,-1,-1,1925 Adam Clayton Powell Jr Blvd,Harlem,10026,10026,40.8033328,-73.9520465,(212) 222-8401,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
timite-and-sons-beauty-supply-new-york,Timite & Sons Beauty Supply,Cosmetics & Beauty Supply;Music & DVDs,Pricey,$$$,5,1,1970 Adam Clayton Powell Jr Blvd,Harlem,10026,10026,40.805137200000004,-73.95171059999998,(212) 865-6278,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
soha-square-market-new-york,Soha Square Market,Pop-up Shops,,,-1,-1,2171 Frederick Douglass Blvd,Harlem,10026,10026,40.80534229999999,-73.9551166,(631) 213-7642,https://s3-media2.fl.yelpcdn.com/bphoto/6YzC0YX-9mAtxgdll7o2aQ/ls.jpg
dollar-tree-new-york,Dollar Tree,Discount Store,Inexpensive,$,4,6,36 W 116th St,Harlem,10026,10026,40.8011187,-73.9481287,(646) 672-0455,https://s3-media1.fl.yelpcdn.com/bphoto/tQz0ZKNz9qJ3ge-32vDCLw/ls.jpg
hunter-toy-kingdom-new-york,Hunter Toy Kingdom,Hobby Shops;Toy Stores;Arts & Crafts,,,-1,-1,357 W 118th St,Morningside Heights,10026,10026,40.806806,-73.95639440000001,,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
marcos-leather-lab-1-new-york-4,Marcos Leather Lab 1,Shoe Repair;Leather Goods;Watch Repair,Moderate,$$,3,33,2096 Frederick Douglass Blvd,Harlem,10026,10026,40.802673999999996,-73.95636390000001,(212) 666-1056,https://s3-media2.fl.yelpcdn.com/bphoto/XBig9HwrcfYFgbuIknISQQ/ls.jpg
harlem-arts-salon-new-york,Harlem Arts Salon,Cultural Center;Art Galleries,,,-1,-1,1925 7th Ave,Harlem,10026,10026,40.8035057,-73.951957,(212) 749-7771,https://s3-media3.fl.yelpcdn.com/bphoto/Aa3JqC6YJHmdMXeXbOCo8Q/ls.jpg
city-furniture-decor-new-york,City Furniture Decor,Furniture Stores,,,1,3,40 W 116th St,Harlem,10026,10026,40.8011187,-73.9481287,(212) 996-2700,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
three-sisters-deli-new-york,Three Sisters Deli,Discount Store,Inexpensive,$,-1,-1,2154 Frederick Douglass Blvd,Harlem,10026,10026,40.804505337460704,-73.95507326894409,(646) 398-9211,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
harlem-rx-new-york,Harlem Rx,Drugstores,Ultra High-End,$$$$,5,3,102 D E F West 116th Street,Harlem,10026,10026,40.802017,-73.9501095,(212) 666-8100,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
x-gallery-new-york,X gallery,Art Galleries,,,-1,-1,163 Malcolm X Blvd,Harlem,10026,10026,40.803704100000004,-73.9489553,(504) 577-1268,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
art-in-flux-harlem-new-york,Art In Flux Harlem,Art Galleries,,,-1,-1,1961 Adam Clayton Powell Blvd 118th St,Harlem,10026,10026,40.8018555345511,-73.95103454589841,(646) 340-3479,https://s3-media2.fl.yelpcdn.com/bphoto/Fdkq2EhDlWBCwtQdb2P_zw/90s.jpg
lenox-pharmacy-new-york,Lenox Pharmacy,Drugstores,,,-1,-1,27 Malcolm X Blvd,Harlem,10026,10026,40.799313399999996,-73.95212099999999,(212) 678-9722,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
leather-and-suede-doc-new-york,Leather & Suede DOC,Leather Goods,,,-1,-1,255 W 113th St,Harlem,10026,10026,40.8021827,-73.95553340000001,(212) 864-8105,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
lamp-african-art-new-york,Lamp African Art,Art Galleries,,,-1,-1,117 W 116th St,Harlem,10026,10026,40.8026088,-73.95047070000001,(800) 233-6490,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
malcolm-pharmacy-new-york,Malcolm Pharmacy,Drugstores,,,5,1,160 Malcolm X Blvd,Harlem,10026,10026,40.803306799999994,-73.9483554,(212) 722-1550,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
rite-aid-manhattan-42,Rite Aid,Drugstores;Convenience Stores,Moderate,$$,2,40,2170 Frederick Douglass Blvd,Harlem,10026,10026,40.805144399999996,-73.9546106,(212) 666-3013,https://s3-media3.fl.yelpcdn.com/bphoto/FCxot9fnxVmVw-q3UL7-xw/90s.jpg
casa-frela-gallery-new-york,Casa Frela Gallery,Art Galleries,Moderate,$$,-1,-1,47 West 119th St,Harlem,10026,10026,40.80341,-73.946384,(212) 722-8577,https://s3-media1.fl.yelpcdn.com/bphoto/llgq1ZRJtnTD4RyQzFMfcA/90s.jpg
hue-man-bookstore-new-york,Hue-Man Bookstore,Bookstores,,,-1,-1,40 W 116th St,Harlem,10026,10026,40.8011187,-73.9481287,(646) 480-2268,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
tribal-spears-gallery-new-york,Tribal Spears Gallery,Art Galleries,,,-1,-1,301 W 110th St,Harlem,10026,10026,40.8010489,-73.958434,(212) 666-6550,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
aalbc-com-new-york,AALBC.Com,Bookstores,,,-1,-1,64 W 119th St,Harlem,10026,10026,40.8033644,-73.9473136,(212) 289-6356,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
paul-mann-incorporated-new-york,Paul Mann Incorporated,Newspapers & Magazines,,,-1,-1,125 W 110th St Ph 4,Harlem,10026,10026,40.7988,-73.95317,(212) 725-7833,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
harlem-renegades-2000-new-york,Harlem Renegades 2000,Music & DVDs,,,-1,-1,390 Manhattan Ave,Harlem,10026,10026,40.8053278,-73.9563026,(212) 865-3547,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
soha-style-furniture-new-york,Soha Style Furniture,Furniture Stores,,,-1,-1,15 W 116th St,Harlem,10026,10026,40.8012749,-73.9472333,(212) 828-3700,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
cjam-consulting-new-york,Cjam Consulting,Art Galleries,,,-1,-1,364 W 117th St,Morningside Heights,10026,10026,40.8059436,-73.9572373,(212) 933-4062,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
cvs-pharmacy-new-york-12,CVS Pharmacy,Drugstores,Moderate,$$,2,31,130 Malcolm X Blvd,Harlem,10026,10026,40.802,-73.9497,(212) 348-2199,https://s3-media3.fl.yelpcdn.com/bphoto/IL6EmLRVzWTVd-MASCeGng/90s.jpg
harlem-underground-new-york,Harlem Underground,Men's Clothing;Women's Clothing,Pricey,$$$,4,15,20 E 125th St,East Harlem,10026,10034,40.8058143,-73.9413667,(212) 987-9385,https://s3-media3.fl.yelpcdn.com/bphoto/mGI5Lmv_bjSh-GDgG6eJYg/90s.jpg
miami-fashion-new-york,Miami Fashion,Fashion,,,5,1,541 W 207th St,Inwood,10032,10034,40.8656412,-73.91972659999999,(212) 567-4756,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
probus-new-york,Probus,Men's Clothing;Accessories,Pricey,$$$,5,1,4857 Broadway,Inwood,10032,10034,40.8670001,-73.9243629,(212) 923-9153,https://s3-media2.fl.yelpcdn.com/bphoto/9bqoDZkHi1D69uCwUvqAPA/ls.jpg
brazen-lingerie-new-york,Brazen Lingerie,Lingerie,Moderate,$$,4,9,Inwood,,10032,10034,40.872145200000006,-73.9212858,(212) 567-5563,https://s3-media3.fl.yelpcdn.com/bphoto/L5fs4UUaE6i_K0VkEErn1g/90s.jpg
dichter-pharmacy-and-soda-shoppe-new-york,Dichter Pharmacy & Soda Shoppe,Drugstores;Bagels,Inexpensive,$,4,43,4953 Broadway,Inwood,10032,10034,40.867983200000005,-73.9208627,(212) 569-1230,https://s3-media4.fl.yelpcdn.com/bphoto/NOkex-0mZpJWhVCvooHyhw/90s.jpg
joyería-elizabeth-new-york-3,Joyería Elizabeth,Pawn Shops;Jewelry;Gold Buyers,,,5,1,551 W 207th St,Inwood,10032,10034,40.8660506,-73.9199302,(212) 569-3565,https://s3-media1.fl.yelpcdn.com/bphoto/la7N8RTUYqxIoh4ja1xQCQ/90s.jpg
alexandro-furniture-new-york-4,Alexandro Furniture,Furniture Stores;Home Decor,,,1,1,592 W 207th St,Inwood,10032,10034,40.86714979999999,-73.921036,(212) 942-5500,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
ez-pawn-corp-new-york-4,EZ Pawn Corp,Jewelry;Pawn Shops,,,5,1,4930 Broadway,Inwood,10032,10034,40.867648100000004,-73.92145409999999,(212) 942-5950,https://s3-media1.fl.yelpcdn.com/bphoto/4evez1JVXDnUgQe13kJEXg/90s.jpg
family-dollar-new-york,Family Dollar,Department Stores,,,-1,-1,228 Nagle Ave,Inwood,10032,10034,40.8629434,-73.9221125,(212) 569-1387,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
lloyds-department-store-new-york,Lloyds Department Store,Department Stores,,,-1,-1,3775 10th Ave,Inwood,10032,10034,40.861655400000004,-73.9206428,(212) 567-8949,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
dichter-pharmacy-new-york-2,Dichter Pharmacy,Drugstores,Inexpensive,$,5,6,4943 Broadway,Inwood,10032,10034,40.8680345,-73.92116920000001,(212) 569-1230,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
99c-super-center-new-york,99C Super Center,Discount Store,Inexpensive,$,2,1,Inwood,525 W 207th St,10032,10034,40.8653546,-73.91966590000001,,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
el-rey-furniture-new-york,El Rey Furniture,Furniture Stores,Moderate,$$,2,16,605 W 207th St,Inwood,10032,10034,40.867428499999995,-73.9208276,(212) 569-5555,https://s3-media1.fl.yelpcdn.com/bphoto/8W7qUcOmeEZNUkJtG_HprQ/90s.jpg
sahara-furniture-new-york,Sahara Furniture,Furniture Stores,,,1,2,490 W 207th St,Inwood,10032,10034,40.8641423,-73.91866170000002,(212) 304-0886,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
loca-fashions-new-york,Loca Fashions,Fashion,,,-1,-1,510 W 207th St,Inwood,10032,10034,40.8645691,-73.9194743,(212) 942-1735,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
rickys-halloween-new-york-3,Ricky’s Halloween,Costumes,,,1,1,4857 Broadway,Inwood,10032,10034,40.8670001,-73.9243629,(877) 447-4269,https://s3-media1.fl.yelpcdn.com/bphoto/EJDtzRKQgtCUWAZMm9RbVw/90s.jpg
nagle-pharmacy-new-york,Nagle Pharmacy,Drugstores,,,5,1,220 Nagle Ave,Inwood,10032,10034,40.862595500000005,-73.92277840000001,(212) 942-0202,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
larimar-moving-xpress-new-york-2,Larimar Moving Xpress,Movers;Packing Services;Packing Supplies,,,-1,-1,520 W 207th St,Inwood,10034,10034,40.865066399999996,-73.9196934,(646) 347-1524,https://s3-media4.fl.yelpcdn.com/bphoto/8BLKA-Fwmlw_fPLlBA9dCg/90s.jpg
inwood-pharmacy-new-york,Inwood Pharmacy,Drugstores,Moderate,$$,4,5,4915 Broadway,Inwood,10034,10034,40.867828,-73.9220665,(212) 304-4646,https://s3-media3.fl.yelpcdn.com/bphoto/XYW5mM3tp32ZbjouTXu1Tw/90s.jpg
sherman-pharmacy-new-york,Sherman Pharmacy,Drugstores,,,5,1,232A Sherman Ave,Inwood,10034,10034,40.8661402,-73.9197582,(212) 567-1115,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
fairy-tale-dreams-new-york,Fairy Tale Dreams,Furniture Stores,,,-1,-1,4875 Broadway,Inwood,10034,10034,40.866916656494105,-73.923454284668,(212) 942-4888,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
one-shot-records-new-york,One Shot Records,Vinyl Records,,,-1,-1,Inwood,,10034,10034,40.872145200000006,-73.9212858,(917) 710-4306,https://s3-media1.fl.yelpcdn.com/bphoto/x-XHuVCvSgZNf1cUqQHbQQ/90s.jpg
furniture-elegant-new-york,Furniture Elegant,Furniture Stores,,,-1,-1,592 W 207th St,Inwood,10034,10034,40.86714979999999,-73.921036,(212) 942-5504,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
st-teresa-pharmacy-new-york,St Teresa Pharmacy,Drugstores,,,-1,-1,3849 10th Ave,Inwood,10034,10034,40.863643100000004,-73.9192861,(212) 304-4541,https://s3-media4.fl.yelpcdn.com/bphoto/EsAGwUoL0BHIJvLx_mIAjQ/90s.jpg
janik-pharmacy-new-york,Janik Pharmacy,Drugstores,,,-1,-1,520 W 207th St,Inwood,10034,10034,40.865066399999996,-73.9196934,(212) 567-1350,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
emagio-new-york,Emagio,Makeup Artists;Hair Stylists;Personal Shopping,,,-1,-1,65 Park Ter W,Inwood,10034,10034,40.871435,-73.917624,(732) 277-6626,https://s3-media3.fl.yelpcdn.com/bphoto/WAE93WKUY7lp6HSIs7yVYw/ls.jpg
jose-pharmacy-new-york,Jose Pharmacy,Drugstores,,,-1,-1,506 W 207th St,Inwood,10034,10034,40.8645436,-73.9193741,(212) 304-0101,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
town-drug-new-york-2,Town Drug,Drugstores,Moderate,$$,3,3,4785 Broadway,Inwood,10034,10034,40.8662114,-73.92629040000001,(212) 304-9582,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
rite-aid-new-york-110,Rite Aid,Drugstores;Convenience Stores,Moderate,$$,2,24,4910 Broadway,Inwood,10034,10034,40.8671907,-73.92198020000001,(212) 569-2512,https://s3-media2.fl.yelpcdn.com/bphoto/djV1JkKhuF6djmRV-oK9dQ/ls.jpg
isham-broadway-pharmacy-new-york,Isham Broadway Pharmacy,Drugstores,,,-1,-1,4996 Broadway,Inwood,10034,10034,40.868241299999994,-73.91848409999999,(212) 567-3137,https://s3-media1.fl.yelpcdn.com/bphoto/E4rCj5s-wIDCX1g10qdsKA/ls.jpg
the-shoe-tree-new-york,The Shoe Tree,Shoe Stores,Moderate,$$,5,21,2876 Broadway,Morningside Heights,10026,10025,40.8051752,-73.9656698,(212) 280-1711,https://s3-media2.fl.yelpcdn.com/bphoto/WBMB0YrR3I0y3J6Z-CNh1g/90s.jpg
tj-maxx-columbus-village,TJ Maxx,Department Stores,Moderate,$$,3,58,808 Columbus Ave,Manhattan Valley,10026,10025,40.794864000000004,-73.96634,(212) 222-0543,https://s3-media3.fl.yelpcdn.com/bphoto/RKlDn92s9HoKhdpiWvEDpg/90s.jpg
urban-outfitters-new-york-11,Urban Outfitters,Women's Clothing;Men's Clothing;Home Decor,Moderate,$$,3,22,2633 Broadway,Manhattan Valley,10026,10025,40.7970815,-73.9704494,(212) 222-3212,https://s3-media2.fl.yelpcdn.com/bphoto/M02pZZMeesZOMAw99W7fYg/90s.jpg
shishi-new-york,Shishi,Women's Clothing;Formal Wear,Moderate,$$,5,36,2488 Broadway,Upper West Side,10026,10025,40.7922799,-73.97317120000001,(646) 692-4510,https://s3-media4.fl.yelpcdn.com/bphoto/nkVy0z-MwbFNBfgpXhdsgQ/90s.jpg
university-hardware-and-housewares-new-york,University Hardware & Housewares,Hardware Stores;Home Decor;Kitchen & Bath,Moderate,$$,4,63,2906 Broadway,Morningside Heights,10026,10025,40.806217,-73.96463709999999,(917) 633-7251,https://s3-media2.fl.yelpcdn.com/bphoto/VYjLcUTtTPKGZJwabTHW4Q/90s.jpg
steps-new-york-new-york-3,Steps New York,Women's Clothing,Moderate,$$,4,1,2736 Broadway,Manhattan Valley,10026,10025,40.8002338,-73.96763609999999,(212) 663-0123,https://s3-media3.fl.yelpcdn.com/bphoto/n4IlQhiOSPdOQPPrIEfecQ/90s.jpg
st-francis-thrift-store-new-york,St Francis Thrift Store,Used;Vintage & Consignment,Inexpensive,$,4,29,217 W 96th St,Upper West Side,10026,10025,40.7944602,-73.971289,(212) 932-8040,https://s3-media3.fl.yelpcdn.com/bphoto/KJ0vDJ7sKVe8aSMeeYFAGg/90s.jpg
loft-new-york-14,Loft,Accessories;Women's Clothing;Maternity Wear,,,3,4,795 Columbus Ave,Manhattan Valley,10026,10025,40.794219,-73.966084,(212) 678-4913,https://s3-media3.fl.yelpcdn.com/bphoto/0nJEkifLzG5-t8KQyd3eJA/90s.jpg
bank-street-bookstore-new-york-4,Bank Street Bookstore,Bookstores,Moderate,$$,5,5,2780 Broadway,Manhattan Valley,10026,10025,40.802251399999996,-73.9674752,(212) 678-1654,https://s3-media2.fl.yelpcdn.com/bphoto/1QPJNB1uy2GvzuDWmck2qw/90s.jpg
housing-works-thrift-shop-new-york-22,Housing Works Thrift Shop,Thrift Stores;Donation Center;Used;Vintage & Consignment,Inexpensive,$,3,11,2569 Broadway,Manhattan Valley,10026,10025,40.795154611315496,-73.971768707037,(212) 222-3550,https://s3-media4.fl.yelpcdn.com/bphoto/_ZNM6ByfAWDaBL2YgV2CLQ/ls.jpg
book-culture-new-york,Book Culture,Bookstores,Moderate,$$,4,96,536 W 112th St,Morningside Heights,10026,10025,40.804990999999994,-73.964975,(212) 865-1588,https://s3-media2.fl.yelpcdn.com/bphoto/QvaBvMGvThFK4mLSepi6JQ/ls.jpg
homegoods-new-york-2,HomeGoods,Home Decor;Kitchen & Bath,Moderate,$$,3,85,795 Columbus Ave,Manhattan Valley,10026,10025,40.794484999999995,-73.965878,(212) 280-6303,https://s3-media2.fl.yelpcdn.com/bphoto/EO99CJfLLovzDl4YaX7fRA/ls.jpg
felix-and-fanny-new-york-2,Felix and Fanny,Toy Stores;Children's Clothing,Pricey,$$$,4,9,2868 Broadway,Morningside Heights,10026,10025,40.8050613,-73.9654849,(212) 580-8202,https://s3-media1.fl.yelpcdn.com/bphoto/yyDpU4dWE6clHdoAjS2v7Q/ls.jpg
supermud-pottery-studio-new-york-2,Supermud Pottery Studio,Art Galleries;Art Schools,Moderate,$$,4,7,2744 Broadway,Manhattan Valley,10026,10025,40.800626,-73.967701,(212) 865-9190,https://s3-media2.fl.yelpcdn.com/bphoto/d28j2rIheNlGdlYRCFb7mQ/ls.jpg
mandee-new-york-8,Mandee,Accessories;Women's Clothing,,,-1,-1,2625 Broadway,Manhattan Valley,10026,10025,40.796973,-73.970603,(212) 222-0536,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
declutter-organize-design-new-york,Declutter Organize Design,Home Organization;Home Decor,,,5,2,127 West 96 St,Upper West Side,10026,10025,40.793732899999995,-73.9689989,(917) 301-5949,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
be-fashion-new-york,Be Fashion,Women's Clothing;Accessories,Moderate,$$,-1,-1,461 Central Park W,Manhattan Valley,10026,10025,40.7983194,-73.9601223,(347) 879-0822,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png
venus-pharmacy-and-beauty-supply-new-york-2,Venus Pharmacy and Beauty Supply,Cosmetics & Beauty Supply;Drugstores,Moderate,$$,4,6,972 Amsterdam Ave,Manhattan Valley,10026,10025,40.801644,-73.965099,(212) 666-4800,https://s3-media4.fl.yelpcdn.com/bphoto/7WGrPVRbuMUtHxu84b4oXQ/90s.jpg
bellasdress-manhattan,BellasDress,Women's Clothing,,,-1,-1,1 Morningside Dr,Manhattan Valley,10026,10025,40.8020696,-73.96128829999999,(347) 227-2223,https://s3-media1.fl.yelpcdn.com/bphoto/p4HuMpdHfVwCR0qvzdGMZg/90s.jpg
the-jewel-boutique-new-york,The Jewel Boutique,Jewelry;Jewelry Repair;Watch Repair,Moderate,$$,4,47,2586 Broadway,Manhattan Valley,10026,10025,40.7958129016031,-73.971118927002,(646) 684-4888,https://s3-media1.fl.yelpcdn.com/bphoto/WPFTNAwkiv0MfYPLa01JVA/90s.jpg
infinite-solidity-outfitters-new-york-city,Infinite Solidity Outfitters,Sports Wear;Men's Clothing;Women's Clothing,,,-1,-1,Manhattan Valley,,10026,10025,40.7999209,-73.9683102,(917) 626-1793,https://s3-media4.fl.yelpcdn.com/bphoto/fKp-Oo-0B9dzvyU6M5dqeg/90s.jpg
akbar-antiques-new-york,Akbar Antiques,Antiques,,,-1,-1,4 W 103rd St,Manhattan Valley,10026,10025,40.7961635,-73.96208829999999,(212) 662-0566,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png
