title,categories,dollarPrice,rating,reviewCount,img,yelpPage,address,district,zipcode,phone
Suite,Gay Bars;Karaoke,$$,3.0,50.0,https://s3-media2.fl.yelpcdn.com/bphoto/3TufaTj00yfkVi3j8JXx8A/ls.jpg,https://www.yelp.com/biz/suite-new-york,992 Amsterdam Ave,Manhattan Valley,10026,(212) 222-4600
Harlem Pub Crawl,Bar Crawl,,3.0,10.0,https://s3-media4.fl.yelpcdn.com/bphoto/Zv2-diOOGnWkxiwkrNhX-g/ls.jpg,https://www.yelp.com/biz/harlem-pub-crawl-new-york-2,152 W 121st St,Harlem,10026,(262) 955-7821
Paris Blues,Dive Bars;Jazz & Blues,$$,3.0,98.0,https://s3-media4.fl.yelpcdn.com/bphoto/s6XydrkHvR76pc9Iiw2GQA/ls.jpg,https://www.yelp.com/biz/paris-blues-new-york-2,2021 Adam Clayton Powell Junior Blvd,Harlem,10026,(917) 257-7831
Cove Lounge,Lounges;Cocktail Bars,$$,3.0,236.0,https://s3-media1.fl.yelpcdn.com/bphoto/WuYKsHAiO_MiTQlhyOo0eg/ls.jpg,https://www.yelp.com/biz/cove-lounge-new-york,325 Lenox Ave,Harlem,10026,(212) 222-5708
Gin Fizz Harlem,Bars;Jazz & Blues,$$,3.0,32.0,https://s3-media3.fl.yelpcdn.com/bphoto/Gu6LtJm262P2LpVbBIq9DQ/ls.jpg,https://www.yelp.com/biz/gin-fizz-harlem-new-york,308 Malcolm X Blvd,Harlem,10026,
Lion Lion,Cocktail Bars,$$,4.0,63.0,https://s3-media1.fl.yelpcdn.com/bphoto/VIrz6NINf_O6RkmFAvfNYA/ls.jpg,https://www.yelp.com/biz/lion-lion-new-york,332 E 116th St,East Harlem,10026,(917) 262-0517
Bill’s Place,Jazz & Blues,$,5.0,76.0,https://s3-media3.fl.yelpcdn.com/bphoto/p3bbDxDVKrCcHZpmUPHSkA/ls.jpg,https://www.yelp.com/biz/bills-place-new-york,148 W 133rd St,Harlem,10026,(212) 281-0777
Harlem Hookah,Lounges;Hookah Bars,$$,3.0,227.0,https://s3-media2.fl.yelpcdn.com/bphoto/pHKdZkyxZ18tHERxx0URQg/ls.jpg,https://www.yelp.com/biz/harlem-hookah-new-york-4,381 Lenox Ave,Harlem,10026,(646) 912-9905
Smoke Jazz & Supper Club,Jazz & Blues;American (New),$$,4.0,343.0,https://s3-media3.fl.yelpcdn.com/bphoto/mtoknHiWV9odxviYizuIRA/ls.jpg,https://www.yelp.com/biz/smoke-jazz-and-supper-club-new-york-2,2751 Broadway,Manhattan Valley,10026,(212) 864-6662
Jazz At Mass,Jazz & Blues,$,5.0,2.0,https://s3-media3.fl.yelpcdn.com/bphoto/GvJAViFElAuIlzhhqirXUw/ls.jpg,https://www.yelp.com/biz/jazz-at-mass-new-york-2,221 W 107th St,Manhattan Valley,10026,(212) 222-0666
Ruby’s Vintage Harlem,Wine Bars;Cocktail Bars,,4.0,11.0,https://s3-media3.fl.yelpcdn.com/bphoto/Q27MIrhWWgtLYUEmvsdjRg/ls.jpg,https://www.yelp.com/biz/rubys-vintage-harlem-new-york,2340 7th Ave,Harlem,10026,
W XYZ Bar,Venues & Event Spaces;Tapas/Small Plates;Cocktail Bars,$$,3.0,37.0,https://s3-media4.fl.yelpcdn.com/bphoto/LVQbg0JPMZQftov3JfyfXA/ls.jpg,https://www.yelp.com/biz/w-xyz-bar-new-york,2296 Frederick Douglass Blvd,Harlem,10026,(212) 749-4000
Chocolat Restaurant & Bar,American (New);Lounges;Comfort Food,$$,3.0,871.0,https://s3-media1.fl.yelpcdn.com/bphoto/NbnLWvwIDfiyqVLnDfxrvw/ls.jpg,https://www.yelp.com/biz/chocolat-restaurant-and-bar-new-york-3,2223 Frederick Douglass Blvd,Harlem,10026,(212) 222-4545
Ortomare Ristorante Pizzeria,Wine Bars;Italian;Pizza,,5.0,2.0,https://s3-media2.fl.yelpcdn.com/bphoto/q1qKvlHHehEx6RwZBWrHmg/ls.jpg,https://www.yelp.com/biz/ortomare-ristorante-pizzeria-new-york-2,994 Columbus Ave,Manhattan Valley,10026,(212) 665-2970
Sexy Taco/Dirty Cash,Cocktail Bars;American (New);Mexican,$$,3.0,302.0,https://s3-media2.fl.yelpcdn.com/bphoto/hbhuYw03UDyauXvsdbUbCg/ls.jpg,https://www.yelp.com/biz/sexy-taco-dirty-cash-new-york,161 Malcolm X Blvd,Harlem,10026,(212) 280-4700
Showman’s Jazz Club,Jazz & Blues,$$,4.0,55.0,https://s3-media2.fl.yelpcdn.com/bphoto/lQvUSNwQ8LJ-2MgZx-AM4w/ls.jpg,https://www.yelp.com/biz/showmans-jazz-club-new-york,375 W 125th St Frnt,Harlem,10026,(212) 864-8941
Broadway Dive Bar,Dive Bars,$,4.0,132.0,https://s3-media1.fl.yelpcdn.com/bphoto/0PohAl4o0RHtcRLUZhmUuA/ls.jpg,https://www.yelp.com/biz/broadway-dive-bar-new-york,2662 Broadway,Manhattan Valley,10026,(212) 865-2662
Under Bar,Cocktail Bars;Speakeasies,$$,2.0,20.0,https://s3-media4.fl.yelpcdn.com/bphoto/C4aqtaUG3SmPfB9-d5S6Pw/ls.jpg,https://www.yelp.com/biz/under-bar-new-york,280 1/2 W 115th St,Harlem,10026,
Whispers Restaurant  Bar & Lounge,Cocktail Bars;Lounges;American (Traditional),$$,4.0,73.0,https://s3-media2.fl.yelpcdn.com/bphoto/tAXxlG64le3RWIrO-M4k7Q/ls.jpg,https://www.yelp.com/biz/whispers-restaurant-bar-and-lounge-new-york,210 W 94th St,Upper West Side,10026,(646) 864-3618
Cafe at Apollo,Music Venues;American (New);Dinner Theater,$$,4.0,183.0,https://s3-media3.fl.yelpcdn.com/bphoto/-PyssTLD9zDlZRM-K3d9nA/ls.jpg,https://www.yelp.com/biz/cafe-at-apollo-new-york,253 W 125th St,Harlem,10026,(212) 531-5300
Arts and Crafts Beer Parlor - Morningside Heights,Beer Bar;Pubs;Public Art,$$,4.0,55.0,https://s3-media3.fl.yelpcdn.com/bphoto/0ZJFk7_g-Q7jpV8M2HaDkQ/ls.jpg,https://www.yelp.com/biz/arts-and-crafts-beer-parlor-morningside-heights-new-york-2,1135 Amsterdam Ave,Morningside Heights,10026,(917) 675-6835
Clay,American (New);Bars,$$$,4.0,117.0,https://s3-media4.fl.yelpcdn.com/bphoto/tOqq6dh7aqqa8-zQTkzd0Q/ls.jpg,https://www.yelp.com/biz/clay-new-york-3,553 Manhattan Ave,Harlem,10026,(212) 729-1850
The Row Harlem,Lounges,,4.0,9.0,https://s3-media4.fl.yelpcdn.com/bphoto/7lFlA97EPUv4JopXUgTciQ/ls.jpg,https://www.yelp.com/biz/the-row-harlem-new-york,2374 7th Ave,Harlem,10026,(646) 767-9582
BarBarrio,Mexican;New Mexican Cuisine;Sports Bars,,5.0,6.0,https://s3-media3.fl.yelpcdn.com/bphoto/1lc2roLOGjW_E8odfu-h1A/ls.jpg,https://www.yelp.com/biz/barbarrio-new-york,1621 Lexington Ave,East Harlem,10026,(646) 755-8145
Bar Thalia,Lounges;Wine Bars,$$,4.0,28.0,https://s3-media4.fl.yelpcdn.com/bphoto/lNpVilWBXIluqOk_Po5Riw/ls.jpg,https://www.yelp.com/biz/bar-thalia-new-york,2537 Broadway,Upper West Side,10026,(646) 597-7340
Angel of Harlem,Caribbean;Bars;Breakfast & Brunch,$$,3.0,384.0,https://s3-media4.fl.yelpcdn.com/bphoto/xXaLWZ9LX6hjBhXyt-A78Q/ls.jpg,https://www.yelp.com/biz/angel-of-harlem-new-york,2272 Frederick Douglass Blvd,Harlem,10026,(212) 316-0350
El Encanto De Lola 2,Mexican;Bars,,3.0,7.0,https://s3-media4.fl.yelpcdn.com/bphoto/0_MjJahDNXwPaY0Sri3Kqg/ls.jpg,https://www.yelp.com/biz/el-encanto-de-lola-2-new-york,175 Lenox Ave,Harlem,10026,(646) 850-3623
The Guthrie Inn,Cocktail Bars,$$,4.0,113.0,https://s3-media1.fl.yelpcdn.com/bphoto/GYOr0TS8LgFMcuG-sbJf7g/ls.jpg,https://www.yelp.com/biz/the-guthrie-inn-new-york,1259 Park Ave,East Harlem,10026,
Santiago’s Beer Garden,Dominican;Beer Gardens,,5.0,42.0,https://s3-media4.fl.yelpcdn.com/bphoto/4lOfSW-KVlVWHvJYmnvzIQ/ls.jpg,https://www.yelp.com/biz/santiagos-beer-garden-new-york,2337 1st Ave,East Harlem,10026,(212) 920-6165
Bodega 88,Sports Bars;Cocktail Bars,$$,4.0,115.0,https://s3-media2.fl.yelpcdn.com/bphoto/W27AK7fQarV1gGyw8ypJZw/ls.jpg,https://www.yelp.com/biz/bodega-88-new-york,573 Columbus Ave,Upper West Side,10026,(212) 799-1602
The Dead Poet,Bars,$$,4.0,397.0,https://s3-media3.fl.yelpcdn.com/bphoto/g-f72Md8caN8MuMjcJwoDA/ls.jpg,https://www.yelp.com/biz/the-dead-poet-new-york,450 Amsterdam Ave,Upper West Side,10026,(212) 595-5670
e’s BAR,Bars;American (Traditional),,4.0,20.0,https://s3-media4.fl.yelpcdn.com/bphoto/oL3dyRx7PEpYvXTKNy9cGg/ls.jpg,https://www.yelp.com/biz/es-bar-new-york-3,2888 Broadway,Morningside Heights,10026,(212) 877-0961
Moca Bar and Lounge,American (Traditional);Lounges;Comfort Food,$$,3.0,161.0,https://s3-media4.fl.yelpcdn.com/bphoto/Bn-aS3MWhQqWRAn0jwNpTg/ls.jpg,https://www.yelp.com/biz/moca-bar-and-lounge-new-york,2210 8th Ave,Harlem,10026,(212) 665-8081
Miller Theatre,Performing Arts;Music Venues;Venues & Event Spaces,$$$$,4.0,7.0,https://s3-media1.fl.yelpcdn.com/bphoto/XIJEugQO1FrlzuF1YIk7eA/ls.jpg,https://www.yelp.com/biz/miller-theatre-new-york,2960 Broadway,Morningside Heights,10026,(212) 854-7799
La Diagonal,Bars;New Mexican Cuisine;Tapas Bars,$$,4.0,146.0,https://s3-media3.fl.yelpcdn.com/bphoto/RIUqGQLp9dOGmvc1LnDJCA/ls.jpg,https://www.yelp.com/biz/la-diagonal-new-york-5,185 St Nicholas Ave,Harlem,10026,(212) 418-1220
Harlem Ale House,American (New);Beer Bar,,4.0,23.0,https://s3-media1.fl.yelpcdn.com/bphoto/YxeVnVDmJ2gp7sZxoZLTKA/ls.jpg,https://www.yelp.com/biz/harlem-ale-house-new-york-2,101 W 127th St,Harlem,10026,(646) 692-8412
The Lexington Social,Mediterranean;Tapas Bars;Bars,$$,3.0,186.0,https://s3-media2.fl.yelpcdn.com/bphoto/w87DYD3sKUVibIGOjGh_xQ/ls.jpg,https://www.yelp.com/biz/the-lexington-social-new-york,1634 Lexington Ave,East Harlem,10026,(646) 820-7013
Bean & Barley,Coffee & Tea;Cocktail Bars;Irish Pub,,4.0,24.0,https://s3-media3.fl.yelpcdn.com/bphoto/7y7ZYfyWTiu06W6aqCMl1g/ls.jpg,https://www.yelp.com/biz/bean-and-barley-new-york,2118 Frederick Douglas Blvd,Harlem,10026,
Zoe Hookah Cafe,Hookah Bars;Cafes,$$,2.0,33.0,https://s3-media1.fl.yelpcdn.com/bphoto/MWkrWg2fPX9TuDo424fqag/ls.jpg,https://www.yelp.com/biz/zoe-hookah-cafe-new-york,2248-2252 Frederick Douglass Blvd,Harlem,10026,(646) 438-9203
1020 Bar,Dive Bars,$,3.0,126.0,https://s3-media4.fl.yelpcdn.com/bphoto/I8TEDH_ShXcQecgdUgLzTg/ls.jpg,https://www.yelp.com/biz/1020-bar-new-york,1020 Amsterdam Ave,Manhattan Valley,10026,(212) 531-3468
Seventeen Below,Lounges,$$,2.0,3.0,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/seventeen-below-new-york,2163 Frederick Douglass Blvd,Harlem,10026,(212) 749-2569
e’s BAR,Bars;American (Traditional),$$,4.0,308.0,https://s3-media4.fl.yelpcdn.com/bphoto/s_n3rI6L-ga4FhZimQPOPA/ls.jpg,https://www.yelp.com/biz/es-bar-new-york,511 Amsterdam Ave,Upper West Side,10026,(212) 877-0961
Bar314,Bars;Tapas/Small Plates;Pizza,,5.0,29.0,https://s3-media1.fl.yelpcdn.com/bphoto/fZLhJf0twzEaL6culGnw3Q/ls.jpg,https://www.yelp.com/biz/bar314-new-york,1260 Amsterdam Ave,Morningside Heights,10026,(646) 682-7645
Prelude Productions,Musicians;Jazz & Blues;Performing Arts,,5.0,1.0,https://s3-media2.fl.yelpcdn.com/bphoto/2gtHOxBM_A9yL_zjgJMWhA/ls.jpg,https://www.yelp.com/biz/prelude-productions-new-york,24 W 117th St,Harlem,10026,(917) 804-7819
Suite 135 NYC,Lounges,$$$,1.0,18.0,https://s3-media2.fl.yelpcdn.com/bphoto/3Nbd_uXHrUFSop57iD-Mvw/ls.jpg,https://www.yelp.com/biz/suite-135-nyc-new-york,701 W 135th St,Harlem,10026,(212) 234-9830
Minton’s Playhouse,Jazz & Blues;American (Traditional);Bars,$$$,3.0,177.0,https://s3-media1.fl.yelpcdn.com/bphoto/rcIQacaKsvVJrOXNiiznwA/ls.jpg,https://www.yelp.com/biz/mintons-playhouse-new-york-5,206 W 118th St,Harlem,10026,(212) 243-2222
Rancho Vegano,Lounges;Breakfast & Brunch;Dominican,,3.0,2.0,https://s3-media2.fl.yelpcdn.com/bphoto/WJTMUIoXMJ-nCZ0EjHAlkA/ls.jpg,https://www.yelp.com/biz/rancho-vegano-new-york-2,2270 2nd Ave,East Harlem,10026,(212) 987-4196
Harlem Tavern,Pubs;American (New);Breakfast & Brunch,$$,3.0,1139.0,https://s3-media1.fl.yelpcdn.com/bphoto/H6XLSHrP5LtyjFgz6mPGRw/ls.jpg,https://www.yelp.com/biz/harlem-tavern-new-york-2,2153 Frederick Douglass Blvd,Harlem,10026,(212) 866-4500
Row House,American (New);Tapas/Small Plates;Cocktail Bars,$$,3.0,296.0,https://s3-media4.fl.yelpcdn.com/bphoto/-rJC-ET_FqURAjQUjVomAg/ls.jpg,https://www.yelp.com/biz/row-house-new-york-6,2128 Frederick Douglass Blvd,Harlem,10026,(212) 256-0019
Tap A Keg,Dive Bars,$,3.0,52.0,https://s3-media1.fl.yelpcdn.com/bphoto/Y0vYKkAWyJpHnX7ZTHgg8w/ls.jpg,https://www.yelp.com/biz/tap-a-keg-new-york,2731 Broadway,Manhattan Valley,10026,(212) 749-1734
Solomon and Kuff,Bars;Caribbean,$$,3.0,319.0,https://s3-media3.fl.yelpcdn.com/bphoto/Y9wUhVIStgpEk0XgdcW0JQ/ls.jpg,https://www.yelp.com/biz/solomon-and-kuff-new-york,2331 12th Ave,Harlem,10026,(212) 283-1819
Mist Harlem,Venues & Event Spaces;Breakfast & Brunch;Music Venues,$$,2.0,114.0,https://s3-media1.fl.yelpcdn.com/bphoto/CuaChHa95FQXhqusQZFdNg/ls.jpg,https://www.yelp.com/biz/mist-harlem-new-york-3,46 W 116th St,Harlem,10026,(212) 828-6478
Cantina Taqueria & Tequila Bar,Mexican;Latin American;Cocktail Bars,$$,4.0,424.0,https://s3-media3.fl.yelpcdn.com/bphoto/wxiVtvtKgTKz16pQYEf8qg/ls.jpg,https://www.yelp.com/biz/cantina-taqueria-and-tequila-bar-new-york,1838 7th Ave,Harlem,10026,(833) 698-2267
Cotton Club,Dance Clubs;Jazz & Blues;Buffets,$$,2.0,11.0,https://s3-media3.fl.yelpcdn.com/bphoto/95cA3ddoFnbVm8iDsFArTA/ls.jpg,https://www.yelp.com/biz/cotton-club-new-york,656 W 125th St,Harlem,10026,(212) 663-7980
Prohibition,Bars;American (Traditional);Music Venues,$$,3.0,350.0,https://s3-media3.fl.yelpcdn.com/bphoto/dp9ojpOf4e80ftvBGdXFUw/ls.jpg,https://www.yelp.com/biz/prohibition-new-york,503 Columbus Ave,Upper West Side,10026,(212) 579-3100
Ginny’s Supper Club,Southern;Jazz & Blues;Diners,$$$,3.0,157.0,https://s3-media4.fl.yelpcdn.com/bphoto/faI-hCVQPYYO1xS7vWgWww/ls.jpg,https://www.yelp.com/biz/ginnys-supper-club-new-york,310 Lenox Ave,Harlem,10026,(212) 421-3821
Made In Mexico Harlem,Cocktail Bars;Mexican,$$,3.0,75.0,https://s3-media1.fl.yelpcdn.com/bphoto/ZuGldzNkJ03XvLJQ9MRzIw/ls.jpg,https://www.yelp.com/biz/made-in-mexico-harlem-new-york,2161 2nd Ave,East Harlem,10026,(917) 265-8408
La Avenida,Latin American;Cocktail Bars,$$,4.0,73.0,https://s3-media1.fl.yelpcdn.com/bphoto/AYcpT6ueOeiYIQt-SQJCeA/ls.jpg,https://www.yelp.com/biz/la-avenida-new-york,2247 1st Ave,East Harlem,10026,(212) 828-2247
The Kiosk,Tapas/Small Plates;Hookah Bars,$$,4.0,113.0,https://s3-media1.fl.yelpcdn.com/bphoto/BqKBMS-SYuYa3a2mvsiD9w/ls.jpg,https://www.yelp.com/biz/the-kiosk-new-york,80 E 116th St,East Harlem,10026,(212) 996-1242
RDV Rendezvous,French;Wine Bars;Desserts,$$,4.0,127.0,https://s3-media3.fl.yelpcdn.com/bphoto/PZ_qZQbJ6LoMMY2F14YiBQ/ls.jpg,https://www.yelp.com/biz/rdv-rendezvous-new-york-3,2072 Frederick Douglass Blvd,Harlem,10026,(212) 222-8952
Fernandez Cigar Lounge,Tobacco Shops;Lounges,$,4.0,5.0,https://s3-media2.fl.yelpcdn.com/bphoto/FDCcEP2W0d2m14ZkJp5OLA/ls.jpg,https://www.yelp.com/biz/fernandez-cigar-lounge-new-york,251 E 123rd St,East Harlem,10026,(917) 475-1491
Harlem Hops,Beer Bar;Pretzels,$$,4.0,76.0,https://s3-media3.fl.yelpcdn.com/bphoto/6AmF33DK3pNEc-Wl4K6roA/ls.jpg,https://www.yelp.com/biz/harlem-hops-new-york-2,2268 Adam Clayton Powell Jr Blvd,Harlem,10026,(646) 998-3444
Dive 106,Burgers;Beer Bar,,4.0,28.0,https://s3-media2.fl.yelpcdn.com/bphoto/6MQuLS4PLU1YdzkgbyzHAQ/ls.jpg,https://www.yelp.com/biz/dive-106-new-york-4,938 Amsterdam Ave,Manhattan Valley,10026,(917) 965-2840
Hip Hop Karaoke,Karaoke,$$$$,5.0,1.0,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/hip-hop-karaoke-manhattan,Various Spots In Manhattan,,10026,
M.G.S BAR Y GRILL,Dive Bars;Latin American,,4.0,2.0,https://s3-media4.fl.yelpcdn.com/bphoto/DOwMdXzo_miwMC5-GNluEg/ls.jpg,https://www.yelp.com/biz/m-g-s-bar-y-grill-new-york-2,3379 Broadway,Harlem,10026,(646) 912-9652
Hop House Harlem,Pizza;Beer Bar;Sandwiches,$$,4.0,99.0,https://s3-media4.fl.yelpcdn.com/bphoto/HxkH_QBDYz5KOgj-Yw5mhA/ls.jpg,https://www.yelp.com/biz/hop-house-harlem-new-york-2,2224 Frederick Douglass Blvd,Harlem,10026,(646) 858-0252
The Cecil Steakhouse,Steakhouses;Bars;American (Traditional),$$$,3.0,77.0,https://s3-media2.fl.yelpcdn.com/bphoto/rrYNurAwmqq_L5WVirmfow/ls.jpg,https://www.yelp.com/biz/the-cecil-steakhouse-new-york,210 W 118th St,Harlem,10026,(212) 866-1262
American Legion Post 398,Jazz & Blues;Dive Bars,$,4.0,32.0,https://s3-media2.fl.yelpcdn.com/bphoto/LSXbQ8OEc9Wsy88I5L2yMg/ls.jpg,https://www.yelp.com/biz/american-legion-post-398-new-york,248 W 132nd St,Harlem,10026,(212) 283-9701
Spice,Thai;Cocktail Bars,$$,3.0,153.0,https://s3-media4.fl.yelpcdn.com/bphoto/CVV0qFticT4QaKVl_i0YyA/ls.jpg,https://www.yelp.com/biz/spice-new-york-14,975 Amsterdam Ave,Manhattan Valley,10026,(212) 864-4168
Radio Amsterdam,Bars,$$,4.0,16.0,https://s3-media4.fl.yelpcdn.com/bphoto/gHafWjzQAcp8UIGysCINnA/ls.jpg,https://www.yelp.com/biz/radio-amsterdam-new-york,407 Amsterdam Ave,Upper West Side,10026,(212) 875-0008
Music Before 1800,Music Venues,,,,https://s3-media4.fl.yelpcdn.com/bphoto/ofapaLjZz8xg3xUNvffTSA/ls.jpg,https://www.yelp.com/biz/music-before-1800-new-york,529 W 121st St,Morningside Heights,10026,(212) 666-9266
J.A.D. - Hotelaria,Bars;Restaurants,,,,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/j-a-d-hotelaria-évora,Estr. da Circunvalação - Frente Central Electrica,Central Park,10026,
Crazy4Jazz,Jazz & Blues;Community Service/Non-Profit,,,,https://s3-media4.fl.yelpcdn.com/bphoto/4yyhaW0N8S6lI8LLjsT0DA/ls.jpg,https://www.yelp.com/biz/crazy4jazz-manhattan,Harlem,,10026,(917) 575-1419
Leather Lounge,Dance Clubs,,1.0,5.0,https://s3-media1.fl.yelpcdn.com/bphoto/Eya5egZ_FT9ax721ly6r4Q/ls.jpg,https://www.yelp.com/biz/leather-lounge-new-york,454 W 128th St,Harlem,10026,(917) 559-1779
Lion’s Head Tavern,American (Traditional);Sports Bars,$,4.0,201.0,https://s3-media2.fl.yelpcdn.com/bphoto/3T4jIG8y5CrdV8-4W_5ZqQ/ls.jpg,https://www.yelp.com/biz/lions-head-tavern-new-york,995 Amsterdam Ave,Manhattan Valley,10026,(212) 866-1030
Lolo’s Seafood Shack,Seafood;Bars,$$,4.0,584.0,https://s3-media3.fl.yelpcdn.com/bphoto/OeueWGrQ0GELrISxoULReg/ls.jpg,https://www.yelp.com/biz/lolos-seafood-shack-new-york,303 W 116th St,Harlem,10026,(646) 649-3356
East Harlem Bottling,Beer Bar;American (Traditional);Breakfast & Brunch,$$,4.0,133.0,https://s3-media3.fl.yelpcdn.com/bphoto/NH9TrztonTr4m-_tky926g/ls.jpg,https://www.yelp.com/biz/east-harlem-bottling-new-york-3,1711 Lexington Ave,East Harlem,10026,(646) 922-7705
The Restaurant at MIST,Wine Bars;Venues & Event Spaces,$$,3.0,75.0,https://s3-media1.fl.yelpcdn.com/bphoto/uD78m6HmPr44voNeh0yzsA/ls.jpg,https://www.yelp.com/biz/the-restaurant-at-mist-new-york-2,46 W 116th St,Harlem,10026,(212) 828-6478
Lido,Italian;Breakfast & Brunch;Cocktail Bars,$$,4.0,882.0,https://s3-media4.fl.yelpcdn.com/bphoto/nlJAMT6QJfZW54wd9Id-0g/ls.jpg,https://www.yelp.com/biz/lido-new-york,2168 Frederick Douglass Blvd,Harlem,10026,(646) 490-8575
El Kallejon,Tapas Bars;Mexican;Cocktail Bars,$$,4.0,240.0,https://s3-media3.fl.yelpcdn.com/bphoto/O0OSypsBwLBnrfNsNJa37A/ls.jpg,https://www.yelp.com/biz/el-kallejon-new-york,209 E 117th St,East Harlem,10026,(646) 649-4795
D’Amore Winebar & Ristorante,Wine Bars;Italian,$$,4.0,204.0,https://s3-media3.fl.yelpcdn.com/bphoto/-7p0WKBPVGWW67rwiJEitQ/ls.jpg,https://www.yelp.com/biz/d-amore-winebar-and-ristorante-new-york,118 E 116th St,East Harlem,10026,(646) 678-3681
Bier International,German;Bars,$$,3.0,306.0,https://s3-media1.fl.yelpcdn.com/bphoto/POBmDYDewjsESUahyoxOcQ/ls.jpg,https://www.yelp.com/biz/bier-international-new-york,2099 Frederick Douglass Blvd,Harlem,10026,(212) 280-0944
B2 Harlem,Seafood;Wine Bars;Breakfast & Brunch,$$,4.0,202.0,https://s3-media1.fl.yelpcdn.com/bphoto/sqm2sPlJonu--X6dq0XTaQ/ls.jpg,https://www.yelp.com/biz/b2-harlem-new-york,271 W 119th St,Harlem,10026,(212) 280-2248
Alibi,Lounges,$$,2.0,36.0,https://s3-media3.fl.yelpcdn.com/bphoto/67RRd8wUykOkn52qoW9DrA/ls.jpg,https://www.yelp.com/biz/alibi-new-york-4,2376 Adam Clayton Powell,Harlem,10026,(917) 472-7789
Da Capo,Wine Bars;Cocktail Bars;Italian,$$,4.0,174.0,https://s3-media4.fl.yelpcdn.com/bphoto/1qng4DwtiQ0qWBqjBGlzgQ/ls.jpg,https://www.yelp.com/biz/da-capo-new-york-2,1392 Madison Ave,East Harlem,10026,(646) 707-0684
